ID;N°samples > 10 reads;Median;Chromosome;Start;End;Strand;
hsa-miR-150-5p;27;3.67;19;49500785;49500868;-;
hsa-miR-151a-3p;230;88.31;8;140732564;140732653;-;
hsa-miR-151a-5p;4;0.00;8;140732564;140732653;-;
hsa-miR-151b;48;3.34;14;100109419;100109514;-;
hsa-miR-151b-5p:Novel;2;0.50;14;100109419;100109514;-;
hsa-miR-152-3p;64;4.02;17;48037161;48037247;-;
hsa-miR-152-5p;31;2.79;17;48037161;48037247;-;
hsa-miR-153-1-5p:Novel;4;0.32;2;219294111;219294200;-;
hsa-miR-153-2-5p;20;2.10;7;157574336;157574422;-;
hsa-miR-153-3p;97;7.78;7;157574336;157574422;-;
hsa-miR-1537-3p;0;0.00;1;235853000;235853060;-;
hsa-miR-1537-5p;0;0.00;1;235853000;235853060;-;
hsa-miR-1538;91;6.82;16;69565808;69565868;-;
hsa-miR-1538-5p:Novel;10;1.34;16;69565808;69565868;-;
hsa-miR-1539;12;1.23;18;49487373;49487422;+;
hsa-miR-1539-5p:Novel;53;4.56;18;49487373;49487422;+;
hsa-miR-154-3p;3;0.00;14;101059755;101059838;+;
hsa-miR-154-5p;4;0.00;14;101059755;101059838;+;
hsa-miR-155-3p;0;0.00;21;25573980;25574044;+;
hsa-miR-155-5p;17;0.81;21;25573980;25574044;+;
hsa-miR-1587;1;0.00;X;39837561;39837613;+;
hsa-miR-1587-3p:Novel;109;9.35;X;39837561;39837613;+;
hsa-miR-15a-3p;0;0.00;13;50049119;50049201;-;
hsa-miR-15a-5p;7;0.45;13;50049119;50049201;-;
hsa-miR-15b-3p;4;0.00;3;160404588;160404685;+;
hsa-miR-15b-5p;8;0.00;3;160404588;160404685;+;
hsa-miR-16-1-3p;2;0.00;13;50048973;50049061;-;
hsa-miR-16-2-3p;6;0.00;3;160404745;160404825;+;
hsa-miR-16-5p;13;1.35;3;160404745;160404825;+;
hsa-miR-17-3p;4;0.00;13;91350605;91350688;+;
hsa-miR-17-5p;8;0.00;13;91350605;91350688;+;
hsa-miR-181a-2-3p;2;0.00;9;124692442;124692551;+;
hsa-miR-181a-3p;36;2.91;1;198859044;198859153;-;
hsa-miR-181a-5p;30;3.04;9;124692442;124692551;+;
hsa-miR-181b-2-3p;3;0.00;9;124693710;124693798;+;
hsa-miR-181b-3p;16;1.20;1;198858873;198858982;-;
hsa-miR-181b-5p;205;22.77;9;124693710;124693798;+;
hsa-miR-181c-3p;123;11.00;19;13874699;13874808;+;
hsa-miR-181c-5p;1;0.26;19;13874699;13874808;+;
hsa-miR-181d-3p;12;1.66;19;13874875;13875011;+;
hsa-miR-181d-5p;18;0.33;19;13874875;13875011;+;
hsa-miR-182-3p;86;6.72;7;129770383;129770492;-;
hsa-miR-182-5p;165;18.78;7;129770383;129770492;-;
hsa-miR-1825;2;0.84;20;32237795;32237847;+;
hsa-miR-1825-5p:Novel;4;0.34;20;32237795;32237847;+;
hsa-miR-1827;40;2.38;12;100189884;100189949;+;
hsa-miR-1827-5p:Novel;41;4.56;12;100189884;100189949;+;
hsa-miR-183-3p;9;0.00;7;129774905;129775014;-;
hsa-miR-183-5p;22;1.44;7;129774905;129775014;-;
hsa-miR-184;8;1.69;15;79209788;79209871;+;
hsa-miR-184-5p:Novel;22;1.68;15;79209788;79209871;+;
hsa-miR-1843;51;5.37;1;175968370;175968479;-;
hsa-miR-1843-3p:Novel;30;3.31;1;175968370;175968479;-;
hsa-miR-185-3p;2;0.00;22;20033139;20033220;+;
hsa-miR-185-5p;22;1.62;22;20033139;20033220;+;
hsa-miR-186-3p;4;0.41;1;71067631;71067716;-;
hsa-miR-186-5p;11;1.03;1;71067631;71067716;-;
hsa-miR-187-3p;32;2.60;18;35904818;35904926;-;
hsa-miR-187-5p;26;1.95;18;35904818;35904926;-;
hsa-miR-188-3p;0;0.00;X;50003503;50003588;+;
hsa-miR-188-5p;7;0.50;X;50003503;50003588;+;
hsa-miR-18a-3p;3;0.00;13;91350751;91350821;+;
hsa-miR-18a-5p;6;0.00;13;91350751;91350821;+;
hsa-miR-18b-3p;0;0.00;X;134170041;134170111;-;
hsa-miR-18b-5p;1;0.00;X;134170041;134170111;-;
hsa-miR-1908-3p;15;1.67;11;61815161;61815240;-;
hsa-miR-1908-5p;12;1.00;11;61815161;61815240;-;
hsa-miR-1909-3p;10;0.37;19;1816159;1816238;-;
hsa-miR-1909-5p;14;1.10;19;1816159;1816238;-;
hsa-miR-190a-3p;0;0.00;15;62823957;62824041;+;
hsa-miR-190a-5p;0;0.00;15;62823957;62824041;+;
hsa-miR-190b-3p;0;0.00;1;154193665;154193743;-;
hsa-miR-190b-5p;7;0.43;1;154193665;154193743;-;
hsa-miR-191-3p;5;0.00;3;49020618;49020709;-;
hsa-miR-191-5p;62;4.30;3;49020618;49020709;-;
hsa-miR-1910-3p;98;8.44;16;85741621;85741700;-;
hsa-miR-1910-5p;3;0.00;16;85741621;85741700;-;
hsa-miR-1911-3p;1;0.00;X;114763184;114763263;+;
hsa-miR-1911-5p;4;0.00;X;114763184;114763263;+;
hsa-miR-1912-3p;0;0.00;X;114651544;114651623;+;
hsa-miR-1912-5p;18;1.66;X;114651544;114651623;+;
hsa-miR-1913;73;5.79;6;166509354;166509433;-;
hsa-miR-1913-5p:Novel;7;0.68;6;166509354;166509433;-;
hsa-miR-1914-3p;0;0.59;20;63941465;63941544;-;
hsa-miR-1914-5p;1;0.00;20;63941465;63941544;-;
hsa-miR-1915-3p;74;5.48;10;21496562;21496641;-;
hsa-miR-1915-5p;0;0.00;10;21496562;21496641;-;
hsa-miR-192-3p;1;0.26;11;64891137;64891246;-;
hsa-miR-192-5p;207;59.05;11;64891137;64891246;-;
hsa-miR-193a-3p;4;0.00;17;31559996;31560083;+;
hsa-miR-193a-5p;51;4.61;17;31559996;31560083;+;
hsa-miR-193b-3p;5;0.00;16;14303967;14304049;+;
hsa-miR-193b-5p;18;1.25;16;14303967;14304049;+;
hsa-miR-194-1-3p:Novel;146;16.42;1;220118157;220118241;-;
hsa-miR-194-3p;183;24.01;11;64891355;64891439;-;
hsa-miR-194-5p;209;41.65;11;64891355;64891439;-;
hsa-miR-195-3p;39;3.90;17;7017615;7017701;-;
hsa-miR-195-5p;11;1.36;17;7017615;7017701;-;
hsa-miR-196a-1-3p;0;0.00;17;48632490;48632559;-;
hsa-miR-196a-3p;33;2.49;12;53991738;53991847;+;
hsa-miR-196a-5p;18;2.72;12;53991738;53991847;+;
hsa-miR-196b-3p;0;0.00;7;27169480;27169563;-;
hsa-miR-196b-5p;12;0.62;7;27169480;27169563;-;
hsa-miR-197-3p;8;0.00;1;109598893;109598967;+;
hsa-miR-197-5p;223;37.71;1;109598893;109598967;+;
hsa-miR-1972;3;0.08;16;70030346;70030422;+;
hsa-miR-1972-5p:Novel;3;0.28;16;70030346;70030422;+;
hsa-miR-1973;0;0.00;4;116299725;116299768;+;
hsa-miR-1973-5p:Novel;0;0.00;4;116299725;116299768;+;
hsa-miR-1976;23;3.33;1;26554542;26554593;+;
hsa-miR-1976-5p:Novel;6;0.67;1;26554542;26554593;+;
hsa-miR-198;0;0.00;3;120395668;120395729;-;
hsa-miR-198-3p:Novel;2;0.71;3;120395668;120395729;-;
hsa-miR-199a-3p, hsa-miR-199b-3p;207;19.98;9;128244721;128244830;-;
hsa-miR-199a-5p;14;1.58;1;172144535;172144644;-;
hsa-miR-199b-5p;1;0.00;9;128244721;128244830;-;
hsa-miR-19a-3p;11;1.67;13;91350891;91350972;+;
hsa-miR-19a-5p;0;0.00;13;91350891;91350972;+;
hsa-miR-19b-3p;20;2.10;X;134169671;134169766;-;
hsa-miR-19b-5p;5;0.42;X;134169671;134169766;-;
hsa-miR-200a-3p;151;14.95;1;1167863;1167952;+;
hsa-miR-200a-5p;13;0.89;1;1167863;1167952;+;
hsa-miR-200b-3p;149;14.58;1;1167104;1167198;+;
hsa-miR-200b-5p;9;0.83;1;1167104;1167198;+;
hsa-miR-200c-3p;129;12.03;12;6963699;6963766;+;
hsa-miR-200c-5p;6;1.03;12;6963699;6963766;+;
hsa-miR-202-3p;77;5.75;10;133247511;133247620;-;
hsa-miR-202-5p;2;0.00;10;133247511;133247620;-;
hsa-miR-203a-3p;52;3.89;14;104117405;104117514;+;
hsa-miR-203a-5p;72;6.70;14;104117405;104117514;+;
hsa-miR-203b-3p;0;0.32;14;104117418;104117503;-;
hsa-miR-203b-5p;2;0.00;14;104117418;104117503;-;
hsa-miR-204-3p;55;4.19;9;70809975;70810084;-;
hsa-miR-204-5p;1;0.00;9;70809975;70810084;-;
hsa-miR-205-3p;1;0.50;1;209432133;209432242;+;
hsa-miR-205-5p;9;1.19;1;209432133;209432242;+;
hsa-miR-2052;5;0.00;8;74705693;74705747;+;
hsa-miR-2052-3p:Novel;5;0.00;8;74705693;74705747;+;
hsa-miR-2053;30;3.81;8;112643493;112643583;+;
hsa-miR-2053-5p:Novel;1;0.00;8;112643493;112643583;+;
hsa-miR-2054;1;0.00;4;125507259;125507307;+;
hsa-miR-2054-3p:Novel;0;0.00;4;125507259;125507307;+;
hsa-miR-206;7;1.79;6;52144349;52144434;+;
hsa-miR-206-5p:Novel;91;6.57;6;52144349;52144434;+;
hsa-miR-208a-3p;0;0.00;14;23388596;23388666;-;
hsa-miR-208a-5p;7;0.00;14;23388596;23388666;-;
hsa-miR-208b-3p;2;0.00;14;23417987;23418063;-;
hsa-miR-208b-5p;2;0.00;14;23417987;23418063;-;
hsa-miR-20a-3p;0;0.00;13;91351065;91351135;+;
hsa-miR-20a-5p;10;0.00;13;91351065;91351135;+;
hsa-miR-20b-3p;2;0.00;X;134169809;134169877;-;
hsa-miR-20b-5p;5;0.00;X;134169809;134169877;-;
hsa-miR-21-3p;6;0.00;17;59841266;59841337;+;
hsa-miR-21-5p;190;37.71;17;59841266;59841337;+;
hsa-miR-210-3p;36;2.72;11;568089;568198;-;
hsa-miR-210-5p;0;0.00;11;568089;568198;-;
hsa-miR-211-3p;22;2.00;15;31065032;31065141;-;
hsa-miR-211-5p;2;0.00;15;31065032;31065141;-;
hsa-miR-2110;217;65.51;10;114174105;114174179;-;
hsa-miR-2110-3p:Novel;177;18.93;10;114174105;114174179;-;
hsa-miR-2113;23;1.64;6;98024531;98024621;+;
hsa-miR-2113-5p:Novel;95;7.40;6;98024531;98024621;+;
hsa-miR-2114-3p;5;0.33;X;150228004;150228083;+;
hsa-miR-2114-5p;160;18.19;X;150228004;150228083;+;
hsa-miR-2115-3p;52;2.75;3;48316360;48316459;-;
hsa-miR-2115-5p;1;0.00;3;48316360;48316459;-;
hsa-miR-2116-3p;0;0.00;15;59171183;59171262;-;
hsa-miR-2116-5p;5;0.84;15;59171183;59171262;-;
hsa-miR-2117;5;1.21;17;43444806;43444885;+;
hsa-miR-2117-5p:Novel;11;0.92;17;43444806;43444885;+;
hsa-miR-212-3p;0;0.00;17;2050271;2050380;-;
hsa-miR-212-5p;1;0.00;17;2050271;2050380;-;
hsa-miR-214-3p;4;0.00;1;172138798;172138907;-;
hsa-miR-214-5p;1;0.00;1;172138798;172138907;-;
hsa-miR-215-3p;3;0.00;1;220117853;220117962;-;
hsa-miR-215-5p;110;9.29;1;220117853;220117962;-;
hsa-miR-216a-3p;37;2.82;2;55988950;55989059;-;
hsa-miR-216a-5p;1;0.00;2;55988950;55989059;-;
hsa-miR-216b-3p;1;0.00;2;56000714;56000795;-;
hsa-miR-216b-5p;3;0.43;2;56000714;56000795;-;
hsa-miR-217-3p;0;0.00;2;55982967;55983076;-;
hsa-miR-217-5p;8;0.69;2;55982967;55983076;-;
hsa-miR-218-1-3p;1;0.00;4;20528275;20528384;+;
hsa-miR-218-2-3p;1;0.00;5;168768146;168768255;-;
hsa-miR-218-5p;42;3.35;5;168768146;168768255;-;
hsa-miR-219a-1-3p;7;0.51;6;33207835;33207944;+;
hsa-miR-219a-2-3p;5;0.85;9;128392618;128392714;-;
hsa-miR-219a-5p;176;18.66;9;128392618;128392714;-;
hsa-miR-219b-3p;19;3.06;9;128392621;128392708;+;
hsa-miR-219b-5p;15;1.02;9;128392621;128392708;+;
hsa-miR-22-3p;72;4.81;17;1713903;1713987;-;
hsa-miR-22-5p;7;0.62;17;1713903;1713987;-;
hsa-miR-221-3p;18;2.00;X;45746157;45746266;-;
hsa-miR-221-5p;20;0.74;X;45746157;45746266;-;
hsa-miR-222-3p;25;1.88;X;45747015;45747124;-;
hsa-miR-222-5p;27;1.14;X;45747015;45747124;-;
hsa-miR-223-3p;65;4.59;X;66018870;66018979;+;
hsa-miR-223-5p;13;0.46;X;66018870;66018979;+;
hsa-miR-224-3p;0;0.00;X;151958578;151958658;-;
hsa-miR-224-5p;10;0.46;X;151958578;151958658;-;
hsa-miR-2276-3p;20;1.25;13;24162416;24162504;+;
hsa-miR-2276-5p;2;0.00;13;24162416;24162504;+;
hsa-miR-2277-3p;30;2.25;5;93620696;93620788;-;
hsa-miR-2277-5p;35;2.07;5;93620696;93620788;-;
hsa-miR-2278;6;0.71;9;94809962;94810057;+;
hsa-miR-2278-3p:Novel;220;64.99;9;94809962;94810057;+;
hsa-miR-2355-3p;1;0.00;2;207109987;207110073;-;
hsa-miR-2355-5p;1;0.00;2;207109987;207110073;-;
hsa-miR-2392;80;7.09;14;100814491;100814574;+;
hsa-miR-2392-5p:Novel;62;5.36;14;100814491;100814574;+;
hsa-miR-23a-3p;14;0.41;19;13836587;13836659;-;
hsa-miR-23a-5p;3;0.59;19;13836587;13836659;-;
hsa-miR-23b-3p;5;0.38;9;95085208;95085304;+;
hsa-miR-23b-5p;1;0.00;9;95085208;95085304;+;
hsa-miR-23c;116;9.83;X;20017088;20017187;-;
hsa-miR-23c-5p:Novel;43;2.07;X;20017088;20017187;-;
hsa-miR-24-1-5p;1;0.00;9;95086021;95086088;+;
hsa-miR-24-2-5p;5;0.58;19;13836287;13836359;-;
hsa-miR-24-3p;30;2.79;19;13836287;13836359;-;
hsa-miR-2467-3p;4;0.38;2;239351724;239351804;-;
hsa-miR-2467-5p;8;1.17;2;239351724;239351804;-;
hsa-miR-25-3p;20;1.37;7;100093560;100093643;-;
hsa-miR-25-5p;9;1.09;7;100093560;100093643;-;
hsa-miR-2681-3p;118;11.27;13;101967642;101967746;-;
hsa-miR-2681-5p;40;0.00;13;101967642;101967746;-;
hsa-miR-2682-3p;1;0.00;1;98045242;98045351;-;
hsa-miR-2682-5p;7;1.47;1;98045242;98045351;-;
hsa-miR-26a-1-3p;2;0.00;3;37969404;37969480;+;
hsa-miR-26a-2-3p;2;0.75;12;57824609;57824692;-;
hsa-miR-26a-5p;3;1.09;12;57824609;57824692;-;
hsa-miR-26b-3p;2;0.00;2;218402646;218402722;+;
hsa-miR-26b-5p;27;1.37;2;218402646;218402722;+;
hsa-miR-27a-3p;46;3.90;19;13836440;13836517;-;
hsa-miR-27a-5p;8;1.03;19;13836440;13836517;-;
hsa-miR-27b-3p;36;1.63;9;95085445;95085541;+;
hsa-miR-27b-5p;15;1.84;9;95085445;95085541;+;
hsa-miR-28-3p;15;1.01;3;188688781;188688866;+;
hsa-miR-28-5p;4;0.00;3;188688781;188688866;+;
hsa-miR-2861;134;12.17;9;127785918;127786007;+;
hsa-miR-2861-5p:Novel;187;23.51;9;127785918;127786007;+;
hsa-miR-2909;1;0.39;17;37033745;37033813;+;
hsa-miR-2909-3p:Novel;75;5.00;17;37033745;37033813;+;
hsa-miR-296-3p;1;0.60;20;58817615;58817694;-;
hsa-miR-296-5p;1;0.00;20;58817615;58817694;-;
hsa-miR-297;0;0.00;4;110860582;110860647;-;
hsa-miR-297-3p:Novel;1;0.00;4;110860582;110860647;-;
hsa-miR-298;18;1.32;20;58818226;58818313;-;
hsa-miR-298-3p:Novel;58;5.04;20;58818226;58818313;-;
hsa-miR-299-3p;2;0.25;14;101023794;101023856;+;
hsa-miR-299-5p;0;0.00;14;101023794;101023856;+;
hsa-miR-29a-3p;16;0.94;7;130876747;130876810;-;
hsa-miR-29a-5p;0;0.00;7;130876747;130876810;-;
hsa-miR-29b-1-5p;8;0.19;7;130877459;130877539;-;
hsa-miR-29b-2-5p;11;1.14;1;207802443;207802523;-;
hsa-miR-29b-3p;26;2.65;1;207802443;207802523;-;
hsa-miR-29c-3p;10;0.47;1;207801852;207801939;-;
hsa-miR-29c-5p;1;0.00;1;207801852;207801939;-;
hsa-miR-300;150;15.79;14;101041363;101041445;+;
hsa-miR-300-5p:Novel;16;0.85;14;101041363;101041445;+;
hsa-miR-301a-3p;1;0.00;17;59151136;59151221;-;
hsa-miR-301a-5p;2;0.00;17;59151136;59151221;-;
hsa-miR-301b-3p;9;0.35;22;21652981;21653058;+;
hsa-miR-301b-5p;0;0.00;22;21652981;21653058;+;
hsa-miR-302a-3p;1;0.00;4;112648183;112648251;-;
hsa-miR-302a-5p;3;0.00;4;112648183;112648251;-;
hsa-miR-302b-3p;0;0.00;4;112648485;112648557;-;
hsa-miR-302b-5p;5;0.30;4;112648485;112648557;-;
hsa-miR-302c-3p;1;0.00;4;112648363;112648430;-;
hsa-miR-302c-5p;89;6.73;4;112648363;112648430;-;
hsa-miR-302d-3p;1;0.00;4;112648004;112648071;-;
hsa-miR-302d-5p;0;0.00;4;112648004;112648071;-;
hsa-miR-302e;7;0.61;11;7234766;7234837;+;
hsa-miR-302e-3p:Novel;21;2.37;11;7234766;7234837;+;
hsa-miR-302f;1;0.00;18;30298910;30298960;+;
hsa-miR-302f-5p:Novel;0;0.00;18;30298910;30298960;+;
hsa-miR-3059-3p;48;1.52;12;86745068;86745149;-;
hsa-miR-3059-5p;4;0.00;12;86745068;86745149;-;
hsa-miR-3064-3p;0;0.00;17;64500774;64500839;-;
hsa-miR-3064-5p;202;32.67;17;64500774;64500839;-;
hsa-miR-3065-3p;0;0.00;17;81125877;81125955;+;
hsa-miR-3065-5p;4;0.00;17;81125877;81125955;+;
hsa-miR-3074-3p;7;0.72;9;95086014;95086094;-;
hsa-miR-3074-5p;62;4.12;9;95086014;95086094;-;
hsa-miR-3085-3p;1;0.00;10;97875813;97875897;-;
hsa-miR-3085-5p;114;9.46;10;97875813;97875897;-;
hsa-miR-30a-3p;14;0.96;6;71403551;71403621;-;
hsa-miR-30a-5p;39;3.88;6;71403551;71403621;-;
hsa-miR-30b-3p;4;1.29;8;134800520;134800607;-;
hsa-miR-30b-5p;14;0.61;8;134800520;134800607;-;
hsa-miR-30c-1-3p;31;1.47;1;40757284;40757372;+;
hsa-miR-30c-2-3p;18;2.00;6;71376960;71377031;-;
hsa-miR-30c-5p;60;4.72;6;71376960;71377031;-;
hsa-miR-30d-3p;1;0.00;8;134804876;134804945;-;
hsa-miR-30d-5p;54;4.10;8;134804876;134804945;-;
hsa-miR-30e-3p;27;1.80;1;40754355;40754446;+;
hsa-miR-30e-5p;26;2.34;1;40754355;40754446;+;
hsa-miR-31-3p;2;0.00;9;21512115;21512185;-;
hsa-miR-31-5p;22;1.84;9;21512115;21512185;-;
hsa-miR-3115;2;0.00;1;23044305;23044372;+;
hsa-miR-3115-3p:Novel;15;1.24;1;23044305;23044372;+;
hsa-miR-3116;6;0.68;1;62078789;62078856;-;
hsa-miR-3116-5p:Novel;4;0.00;1;62078789;62078856;-;
hsa-miR-3117-3p;2;0.00;1;66628440;66628517;+;
hsa-miR-3117-5p;2;0.00;1;66628440;66628517;+;
hsa-miR-3118;26;0.18;15;21843750;21843824;+;
hsa-miR-3118-2-5p:Novel, hsa-miR-3118-3-5p:Novel, hsa-miR-3118-4-5p:Novel;3;0.43;15;21843750;21843824;+;
hsa-miR-3119;2;0.00;1;170151378;170151462;+;
hsa-miR-3119-3p:Novel;12;0.49;1;170151378;170151462;+;
hsa-miR-3120-3p;5;0.00;1;172138808;172138888;+;
hsa-miR-3120-5p;3;0.57;1;172138808;172138888;+;
hsa-miR-3121-3p;9;0.47;1;180438314;180438390;-;
hsa-miR-3121-5p;1;0.00;1;180438314;180438390;-;
hsa-miR-3122;1;0.62;1;212077613;212077685;+;
hsa-miR-3122-3p:Novel;21;2.25;1;212077613;212077685;+;
hsa-miR-3123;39;4.01;1;241132272;241132346;+;
hsa-miR-3123-5p:Novel;14;0.37;1;241132272;241132346;+;
hsa-miR-3124-3p;0;0.00;1;248826377;248826443;+;
hsa-miR-3124-5p;12;1.60;1;248826377;248826443;+;
hsa-miR-3125;232;1698.23;2;12737367;12737444;+;
hsa-miR-3125-3p:Novel;70;5.85;2;12737367;12737444;+;
hsa-miR-3126-3p;0;0.00;2;69103682;69103755;+;
hsa-miR-3126-5p;0;0.73;2;69103682;69103755;+;
hsa-miR-3127-3p;19;1.54;2;96798278;96798353;+;
hsa-miR-3127-5p;136;13.06;2;96798278;96798353;+;
hsa-miR-3128;0;0.00;2;177255945;177256010;-;
hsa-miR-3128-3p:Novel;11;0.27;2;177255945;177256010;-;
hsa-miR-3129-3p;0;0.00;2;189133036;189133111;-;
hsa-miR-3129-5p;3;0.00;2;189133036;189133111;-;
hsa-miR-3130-3p;101;8.71;2;206783234;206783308;+;
hsa-miR-3130-5p;33;3.09;2;206783234;206783308;+;
hsa-miR-3131;6;0.51;2;219058688;219058750;-;
hsa-miR-3131-3p:Novel;32;2.81;2;219058688;219058750;-;
hsa-miR-3132;26;2.10;2;219549073;219549147;-;
hsa-miR-3132-3p:Novel;19;3.27;2;219549073;219549147;-;
hsa-miR-3133;4;0.61;2;241477905;241477982;+;
hsa-miR-3133-3p:Novel;20;2.44;2;241477905;241477982;+;
hsa-miR-3134;14;0.70;3;15697298;15697371;-;
hsa-miR-3134-5p:Novel;0;0.00;3;15697298;15697371;-;
hsa-miR-3135a;49;4.19;3;20137565;20137641;+;
hsa-miR-3135a-3p:Novel;43;3.35;3;20137565;20137641;+;
hsa-miR-3135b;43;4.04;6;32749912;32749979;-;
hsa-miR-3135b-3p:Novel;17;3.03;6;32749912;32749979;-;
hsa-miR-3136-3p;1;0.00;3;69048958;69049035;-;
hsa-miR-3136-5p;122;11.42;3;69048958;69049035;-;
hsa-miR-3137;226;60.02;3;195134506;195134580;-;
hsa-miR-3137-3p:Novel;172;22.28;3;195134506;195134580;-;
hsa-miR-3138;8;1.39;4;10078611;10078692;-;
hsa-miR-3138-5p:Novel;231;140.89;4;10078611;10078692;-;
hsa-miR-3139;3;1.21;4;143343460;143343535;+;
hsa-miR-3139-3p:Novel;9;0.51;4;143343460;143343535;+;
hsa-miR-3140-3p;11;0.69;4;152489327;152489416;-;
hsa-miR-3140-5p;2;0.00;4;152489327;152489416;-;
hsa-miR-3141;5;0.83;5;154596012;154596072;-;
hsa-miR-3141-3p:Novel;176;15.19;5;154596012;154596072;-;
hsa-miR-3142;9;0.56;5;160474402;160474483;+;
hsa-miR-3142-5p:Novel;0;0.00;5;160474402;160474483;+;
hsa-miR-3143;2;0.43;6;27147626;27147688;+;
hsa-miR-3143-3p:Novel;20;2.26;6;27147626;27147688;+;
hsa-miR-3144-3p;9;0.00;6;120015179;120015257;+;
hsa-miR-3144-5p;1;0.00;6;120015179;120015257;+;
hsa-miR-3145-3p;20;1.13;6;138435213;138435294;-;
hsa-miR-3145-5p;1;0.00;6;138435213;138435294;-;
hsa-miR-3146;15;1.67;7;19705358;19705436;-;
hsa-miR-3146-5p:Novel;8;0.20;7;19705358;19705436;-;
hsa-miR-3147;21;2.82;7;57405025;57405090;+;
hsa-miR-3147-3p:Novel;43;4.16;7;57405025;57405090;+;
hsa-miR-3148;8;0.60;8;29957272;29957348;-;
hsa-miR-3148-3p:Novel;8;0.75;8;29957272;29957348;-;
hsa-miR-3149;84;7.00;8;76966768;76966850;-;
hsa-miR-3149-5p:Novel;10;0.60;8;76966768;76966850;-;
hsa-miR-3150a-3p;1;0.79;8;95072914;95072993;+;
hsa-miR-3150a-5p;1;0.00;8;95072914;95072993;+;
hsa-miR-3150b-3p;5;1.05;8;95072911;95072996;-;
hsa-miR-3150b-5p;8;0.56;8;95072911;95072996;-;
hsa-miR-3151-3p;1;0.00;8;103154614;103154689;+;
hsa-miR-3151-5p;7;0.95;8;103154614;103154689;+;
hsa-miR-3152-3p;5;0.70;9;18573306;18573379;+;
hsa-miR-3152-5p;0;0.00;9;18573306;18573379;+;
hsa-miR-3153;15;1.92;9;89312225;89312306;+;
hsa-miR-3153-5p:Novel;7;1.05;9;89312225;89312306;+;
hsa-miR-3154;130;11.56;9;128244947;128245030;-;
hsa-miR-3154-5p:Novel;119;11.65;9;128244947;128245030;-;
hsa-miR-3155a;132;11.73;10;6152196;6152277;+;
hsa-miR-3155a-5p:Novel;9;1.48;10;6152196;6152277;+;
hsa-miR-3155b;126;11.18;10;6152207;6152262;-;
hsa-miR-3155b-5p:Novel;2;0.00;10;6152207;6152262;-;
hsa-miR-3156-3p;122;11.45;21;13406384;13406460;-;
hsa-miR-3156-5p;24;3.01;21;13406384;13406460;-;
hsa-miR-3157-3p;29;2.07;10;96064315;96064399;-;
hsa-miR-3157-5p;1;0.00;10;96064315;96064399;-;
hsa-miR-3158-3p;5;1.15;10;101601417;101601497;-;
hsa-miR-3158-5p;3;0.16;10;101601417;101601497;-;
hsa-miR-3159;53;4.51;11;18387787;18387860;+;
hsa-miR-3159-3p:Novel;39;3.78;11;18387787;18387860;+;
hsa-miR-3160-3p;133;11.41;11;46451807;46451887;+;
hsa-miR-3160-5p;113;9.78;11;46451807;46451887;+;
hsa-miR-3161;1;0.00;11;48096782;48096858;+;
hsa-miR-3161-3p:Novel;20;2.83;11;48096782;48096858;+;
hsa-miR-3162-3p;1;0.00;11;59595077;59595158;-;
hsa-miR-3162-5p;28;3.11;11;59595077;59595158;-;
hsa-miR-3163;30;2.84;11;66934434;66934506;-;
hsa-miR-3163-3p:Novel;5;0.96;11;66934434;66934506;-;
hsa-miR-3164;48;4.05;11;69083176;69083258;+;
hsa-miR-3164-3p:Novel;78;5.83;11;69083176;69083258;+;
hsa-miR-3165;2;0.00;11;72072228;72072302;-;
hsa-miR-3165-3p:Novel;5;0.67;11;72072228;72072302;-;
hsa-miR-3166;1;0.51;11;88176502;88176593;+;
hsa-miR-3166-5p:Novel;0;0.00;11;88176502;88176593;+;
hsa-miR-3167;5;0.67;11;126988458;126988542;-;
hsa-miR-3167-5p:Novel;9;0.85;11;126988458;126988542;-;
hsa-miR-3168;45;1.88;13;41101019;41101100;-;
hsa-miR-3168-3p:Novel;179;22.49;13;41101019;41101100;-;
hsa-miR-3169;225;55.22;13;61199798;61199880;-;
hsa-miR-3169-3p:Novel;112;9.14;13;61199798;61199880;-;
hsa-miR-3170;188;21.66;13;98208524;98208600;+;
hsa-miR-3170-3p:Novel;103;8.88;13;98208524;98208600;+;
hsa-miR-3171;18;0.83;14;27633205;27633278;-;
hsa-miR-3171-3p:Novel;19;1.50;14;27633205;27633278;-;
hsa-miR-3173-3p;5;0.26;14;95137919;95137986;-;
hsa-miR-3173-5p;1;0.00;14;95137919;95137986;-;
hsa-miR-3174;2;0.47;15;90006755;90006841;+;
hsa-miR-3174-3p:Novel;92;7.77;15;90006755;90006841;+;
hsa-miR-3175;7;1.25;15;92904399;92904475;+;
hsa-miR-3175-3p:Novel;23;2.99;15;92904399;92904475;+;
hsa-miR-3176;18;3.58;16;543277;543366;+;
hsa-miR-3176-5p:Novel;136;12.46;16;543277;543366;+;
hsa-miR-3177-3p;9;0.98;16;1734985;1735066;+;
hsa-miR-3177-5p;12;0.00;16;1734985;1735066;+;
hsa-miR-3178;33;3.54;16;2531922;2532005;-;
hsa-miR-3178-3p:Novel;109;9.57;16;2531922;2532005;-;
hsa-miR-3179;6;0.45;16;18494493;18494576;-;
hsa-miR-3179-5p:Novel;8;0.56;16;18494493;18494576;-;
hsa-miR-3180;221;32.17;16;2135977;2136129;-;
